INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
JUICE PRESS,50051701,100 10TH AVE,"NEW YORK, NY 10011-4718",MANHATTAN,982280,210201,50051701,"Juice, Smoothies, Fruit Salads"
JUICE PRESS,50056516,117 FRONT ST,"BROOKLYN, NY 11201-1007",BROOKLYN,987364,195218,50056516,Other
JUICE PRESS,50056787,420 LEXINGTON AVE,"NEW YORK, NY 10170-0002",MANHATTAN,991048,213347,50056787,"Juice, Smoothies, Fruit Salads"
JUICE PRESS @ EQUINOX,50049869,54 MURRAY ST,"NEW YORK, NY 10007-2219",MANHATTAN,981567,199468,50049869,"Juice, Smoothies, Fruit Salads"
JUICE PRESS @ EQUINOX,50051272,1429 2ND AVE,"NEW YORK, NY 10021-3304",MANHATTAN,996105,219963,50051272,"Juice, Smoothies, Fruit Salads"
JUICE PRESS @EQUINOX,50049623,344 AMSTERDAM AVE,"NEW YORK, NY 10024-6917",MANHATTAN,989912,223990,50049623,"Juice, Smoothies, Fruit Salads"
JUICEGO,50057690,333 E 9TH ST FRNT,"NEW YORK, NY 10003-7723",MANHATTAN,988036,204802,50057690,"Juice, Smoothies, Fruit Salads"
JUICERY+KITCHEN,50011541,568 UNION AVE FRNT 1,"BROOKLYN, NY 11211-1762",BROOKLYN,997508,200681,50011541,"Juice, Smoothies, Fruit Salads"
JUMBO BURGERS,50049975,112 W 116TH ST,"NEW YORK, NY 10026-2520",MANHATTAN,997944,231607,50049975,American
JUNIOR'S RESTAURANT,50064578,750 7TH AVE FRNT 1,"NEW YORK, NY 10019-6800",MANHATTAN,988814,216440,50064578,American
JUPITER DISCO,50051321,1237 FLUSHING AVE,"BROOKLYN, NY 11237-1504",BROOKLYN,1005463,197232,50051321,American
JUST SALAD,50009019,1306 1ST AVE,"NEW YORK, NY 10021-5301",MANHATTAN,996213,218599,50009019,Salads
JUST SALAD,50009989,325 HUDSON ST,"NEW YORK, NY 10013-1005",MANHATTAN,982194,204060,50009989,Salads
JUST SALAD,50017041,151 W 34TH ST,"NEW YORK, NY 10001-2101",MANHATTAN,987165,212710,50017041,Salads
JUST SALAD,50017044,90 BROAD ST,"NEW YORK, NY 10004-2205",MANHATTAN,981036,195746,50017044,Salads
JUST SALAD,50017045,140 8TH AVE,"NEW YORK, NY 10011-5108",MANHATTAN,983914,209438,50017045,Salads
JUST SALAD,50017047,2056 BROADWAY,"NEW YORK, NY 10023-3703",MANHATTAN,989222,222602,50017047,Salads
JUST SALAD,50033222,315 PARK AVE S FRNT 1,"NEW YORK, NY 10010-3607",MANHATTAN,988117,209101,50033222,Salads
JUST SALAD,50033231,233 BROADWAY FRNT,"NEW YORK, NY 10279-0001",MANHATTAN,982062,198774,50033231,Salads
JUST SALAD,50035721,252 7TH AVE FRNT,"BROOKLYN, NY 11215-3404",BROOKLYN,989937,183160,50035721,Salads
JUST SALAD,50050507,291 7TH AVE,"NEW YORK, NY 10001-6015",MANHATTAN,985905,211177,50050507,Salads
JXY RESTAURANT,50051469,13335 ROOSEVELT AVE UNIT 19,"FLUSHING, NY 11354-5254",QUEENS,1030448,215666,50051469,Asian
K-TOWN FOOD COURT,50005232,46-40 FRANCIS LEWIS BOULEVARD,"BAYSIDE, 11361",QUEENS,1044934,214008,50005232,Korean
KABOB SHACK,50060958,182 HAVEMEYER ST FRNT,"BROOKLYN, NY 11211-9113",BROOKLYN,995858,198199,50060958,Mediterranean
KAHVA,50046468,667 10TH AVE FRNT 2,"NEW YORK, NY 10036-2961",MANHATTAN,986088,217089,50046468,Caf&eacute;/Coffee/Tea
KAI FAN ASIAN CUISINE,50034653,3717 RIVERDALE AVE,"BRONX, NY 10463-1807",BRONX,1009922,262549,50034653,Jewish/Kosher
KAPPO MASA,50015835,976 MADISON AVE,"NEW YORK, NY 10075-1846",MANHATTAN,994374,221458,50015835,Japanese
KARNIVAL BELIZE,50055950,11703 HILLSIDE AVE,"RICHMOND HILL, NY 11418-1741",QUEENS,1030655,194420,50055950,Caribbean
KATCH,50060971,3119 NEWTOWN AVE,"ASTORIA, NY 11102-1350",QUEENS,1006237,218885,50060971,Other
KAVA SHTEEBLE,50004991,94 RALPH AVE FRNT 1,"BROOKLYN, NY 11221-4065",BROOKLYN,1005468,189495,50004991,Caf&eacute;/Coffee/Tea
KAZUNORI,50057977,15 W 28TH ST,"NEW YORK, NY 10001-6410",MANHATTAN,987469,210755,50057977,Japanese
KBBQ,50060117,672 LEXINGTON AVE,"NEW YORK, NY 10022-3503",MANHATTAN,992626,216194,50060117,Korean
KEBAB GARDEN,50036606,2943 STILLWELL AVE,"BROOKLYN, NY 11224-2729",BROOKLYN,989418,149256,50036606,Turkish
KENNEDY FRIED CHICKEN,50016172,3211A WHITE PLAINS RD,"BRONX, NY 10467-6403",BRONX,1020991,256938,50016172,Chicken
KENNEDY FRIED CHICKEN,50017001,638 E 169TH ST FRNT 6,"BRONX, NY 10456-2623",BRONX,1011690,242079,50017001,Chicken
KENNEDY FRIED CHICKEN,50037751,2104 CROTONA PKWY FRNT 1,"BRONX, NY 10460-1575",BRONX,1016356,247522,50037751,American
KENNEDY FRIED CHICKEN,50046288,229 BROAD ST,"STATEN ISLAND, NY 10304-2057",STATEN ISLAND,961437,166549,50046288,Chicken
KENNEDY'S CHICKEN & GRILL,50036198,1550 SAINT NICHOLAS AVE,"NEW YORK, NY 10040-4506",MANHATTAN,1003406,250191,50036198,American
KES SALAO RESTAURANT,50062799,300 E TREMONT AVE FRNT,"BRONX, NY 10457-4241",BRONX,1011044,248482,50062799,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
KETTLEBELL KITCHEN,50010540,630 FLUSHING AVE,"BROOKLYN, NY 11206-5026",BROOKLYN,998544,194296,50010540,American
KFC,50004216,8715 NORTHERN BLVD,"FLUSHING, NY 11372-1671",QUEENS,1017360,214760,50004216,Chicken
KFC,50004307,9015 QUEENS BLVD STE 2,"FLUSHING, NY 11373-4910",QUEENS,1019841,206663,50004307,American
KFC,50004308,5717 QUEENS BLVD,"WOODSIDE, NY 11377-4742",QUEENS,1009719,209600,50004308,American
KFC,50004309,17546 HILLSIDE AVE,"JAMAICA, NY 11432-5725",QUEENS,1043192,198692,50004309,American
KFC,50004311,1615 UTICA AVE,"BROOKLYN, NY 11234-1508",BROOKLYN,1004129,169935,50004311,Chicken
KFC,50004312,242 E 14TH ST,"NEW YORK, NY 10003-4105",MANHATTAN,988080,206278,50004312,Chicken
KFC,50004313,942 FLATBUSH AVE,"BROOKLYN, NY 11226-4018",BROOKLYN,995821,175600,50004313,Chicken
KFC,50004319,798 4TH AVE,"BROOKLYN, NY 11232-1606",BROOKLYN,984423,179438,50004319,Chicken
KFC,50004327,458 UTICA AVE,"BROOKLYN, NY 11203-1319",BROOKLYN,1003239,180704,50004327,American
KFC,50004328,534 CONEY ISLAND AVE,"BROOKLYN, NY 11218-3422",BROOKLYN,992494,174056,50004328,Chicken
KFC,50004330,5223 5TH AVE,"BROOKLYN, NY 11220-2708",BROOKLYN,981016,173833,50004330,Chicken
KFC,50004346,2755 BROADWAY,"NEW YORK, NY 10025-2803",MANHATTAN,993140,231218,50004346,American
KFC,50004347,9201 5TH AVE,"BROOKLYN, NY 11209-7001",BROOKLYN,976068,164317,50004347,American
KFC,50004349,15203 NORTHERN BLVD,"FLUSHING, NY 11354-4952",QUEENS,1036285,218012,50004349,Chicken
KFC,50004350,15805 UNION TPKE,"FLUSHING, NY 11366-1939",QUEENS,1037230,201640,50004350,Chicken
KFC,50004352,2160 FLATBUSH AVE,"BROOKLYN, NY 11234-4326",BROOKLYN,1003391,164188,50004352,American
"KFC, TACO BELL",50004318,2026 CONEY ISLAND AVE,"BROOKLYN, NY 11223-2333",BROOKLYN,994811,160704,50004318,American
KINFOLK,50005134,94 WYTHE AVE,"BROOKLYN, NY 11249-1923",BROOKLYN,995816,202157,50005134,American
KING & QUEENS,50051827,834 CLARKSON AVE BLDG 1,"BROOKLYN, NY 11203-2228",BROOKLYN,1003500,178509,50051827,Seafood
KING OF FALAFEL & SHAWARMA,50059659,3015 BROADWAY FRNT,"ASTORIA, NY 11106-2646",QUEENS,1004755,216998,50059659,Mediterranean
KING RIVER CHINESE RESTAURANT,50005268,8018 31ST AVE,"EAST ELMHURST, NY 11370-1902",QUEENS,1015379,215841,50005268,Chinese
KINGSBRIDGE SOCIAL CLUB,50057270,3625 KINGSBRIDGE AVE,"BRONX, NY 10463-2307",BRONX,1011380,261527,50057270,Pizza/Italian
KINGSLEY,50043978,190 AVENUE B FRNT,"NEW YORK, NY 10009-3600",MANHATTAN,990028,204476,50043978,American
KOBEYAKI,50011386,215 E 86TH ST,"NEW YORK, NY 10028-3616",MANHATTAN,997151,222942,50011386,Japanese
KOKIO,50059849,22140 HORACE HARDING EXPY,"OAKLAND GARDENS, NY 11364-2333",QUEENS,1052032,212398,50059849,Korean
KONDO JAPANESE RESTAURANT,50032691,2913 BROADWAY,"ASTORIA, NY 11106-2954",QUEENS,1004530,217137,50032691,Japanese
KOREAN BBQ MAGAL,50059971,13671 ROOSEVELT AVE,"FLUSHING, NY 11354-5521",QUEENS,1032008,216287,50059971,Korean
KORNER CHICKEN-N-PIZZA,50056724,16901 JAMAICA AVE,"JAMAICA, NY 11432-5217",QUEENS,1042294,196896,50056724,American
KORONI SOUVLAKI AND GRILL,50057482,2937 NEWTOWN AVE,"ASTORIA, NY 11102-2128",QUEENS,1006018,219288,50057482,Greek
KORZO KLUB,50053668,977 BAY ST FL 1,"STATEN ISLAND, NY 10305-4903",STATEN ISLAND,964952,164693,50053668,Eastern European
KRUSH,50012532,2 W 32ND ST STE 402,"NEW YORK, NY 10001-0408",MANHATTAN,988156,211544,50012532,American
KULUSHKAT,50042352,1137 WASHINGTON AVE,"BROOKLYN, NY 11225-3713",BROOKLYN,995155,180161,50042352,Mediterranean
KUNG FU LITTLE STEAMED BUNS RAMEN,50054403,811 8TH AVE,"NEW YORK, NY 10019-7418",MANHATTAN,987943,216723,50054403,Asian
KUNG FU TEA,50050275,13620 ROOSEVELT AVE STE 7,"FLUSHING, NY 11354-5664",QUEENS,1031557,216133,50050275,Caf&eacute;/Coffee/Tea
KUNG FU TEA,50051756,2174 86TH ST,"BROOKLYN, NY 11214-3200",BROOKLYN,985834,158687,50051756,Caf&eacute;/Coffee/Tea
KUNG FU TEA,50052215,8202 ROOSEVELT AVE,"JACKSON HEIGHTS, NY 11372-7009",QUEENS,1016452,211683,50052215,Caf&eacute;/Coffee/Tea
KUNG FU TEA,50053505,4111 KISSENA BLVD,"FLUSHING, NY 11355-3138",QUEENS,1031580,215590,50053505,Caf&eacute;/Coffee/Tea
Kennedy Fried Chicken,50058200,13447 SPRINGFIELD BLVD,"SPRINGFIELD GARDENS, NY 11413-1448",QUEENS,1052477,186765,50058200,Chicken
L.A. BURRITO,50007916,43 UNDERHILL AVE,"BROOKLYN, NY 11238-3131",BROOKLYN,993953,186911,50007916,Mexican
LA ABUNDANCIA,50005893,8826 37TH AVE,"JACKSON HEIGHTS, NY 11372-7737",QUEENS,1017937,212676,50005893,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LA ABUNDANCIA RESTAURANT & BAKERY,50064539,8116 ROOSEVELT AVE,"JACKSON HEIGHTS, NY 11372-6746",QUEENS,1016223,211651,50064539,Spanish
LA AMISTAD BAKERY AND RESTAURANT,50057635,16204 NORTHERN BLVD,"FLUSHING, NY 11358-1635",QUEENS,1038753,216856,50057635,Spanish
LA AVENIDA,50051307,2247 1ST AVE,"NEW YORK, NY 10029-1610",MANHATTAN,1002052,229147,50051307,Mexican
LA BAGEL DELIGHT,50046173,90 COURT ST,"BROOKLYN, NY 11201-5002",BROOKLYN,986557,191077,50046173,American
LA BAGUETTE SHOP,50015501,7915 FLATLANDS AVE,"BROOKLYN, NY 11236-3531",BROOKLYN,1008158,170687,50015501,Bakery
LA BASE COFFE SHOP,50043199,10 W 169TH ST FRNT 1,"BRONX, NY 10452-3240",BRONX,1006228,244446,50043199,Delicatessen
LA CHIQUI RESTAURANT,50043580,760 GRAND CONCOURSE FRNT 4,"BRONX, NY 10451-3048",BRONX,1005172,239365,50043580,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LA CIENEGA OAXACA DELI,50043786,10432 CORONA AVE,"CORONA, NY 11368-5800",QUEENS,1023677,210348,50043786,Mexican
LA COMPAGNIE DES VINS SUPERNATURELS,50007953,249 CENTRE ST,"NEW YORK, NY 10013-3214",MANHATTAN,984796,201736,50007953,Mediterranean
LA DAMA'S COOKIES,50042669,507 CONEY ISLAND AVE,"BROOKLYN, NY 11218-3408",BROOKLYN,992418,174428,50042669,Bakery
LA FLOR DEL CANARIO #2 RESTAURANT PIZZERIA,50058634,2225 PITKIN AVE,"BROOKLYN, NY 11207-3659",BROOKLYN,1014713,184394,50058634,Spanish
LA FUENTES STEAKHOUSE,50018145,1306 JEROME AVE,"BRONX, NY 10452-3305",BRONX,1006626,244691,50018145,Spanish
LA GRATA,50056679,136 ALEXANDER AVE FRNT,"BRONX, NY 10454-4420",BRONX,1004433,233431,50056679,Pizza/Italian
LA GUALACENA BAR & RESTAURANT,50008656,178 WYCKOFF AVE,"BROOKLYN, NY 11237-5087",BROOKLYN,1007604,195097,50008656,Spanish
LA LOBA CANTINA,50043181,709 CHURCH AVE,"BROOKLYN, NY 11218-3305",BROOKLYN,991802,174483,50043181,Mexican
LA MARIA,50063272,2571 FRANCIS LEWIS BLVD,"FLUSHING, NY 11358-1142",QUEENS,1040743,221059,50063272,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LA REGINA PIZZERIA,50058534,6008 KISSENA BLVD,"FLUSHING, NY 11355-5548",QUEENS,1035480,208865,50058534,Pizza
LA ROSA GRILL,50051951,245 RICHMOND VALLEY RD,"STATEN ISLAND, NY 10309-2622",STATEN ISLAND,918461,129202,50051951,Chicken
LA SIRENA,50044328,88 9TH AVE FL 2,"NEW YORK, NY 10011-4900",MANHATTAN,983047,209741,50044328,Italian
LA TORRE RESTAURANT & BAR,50014309,610 E 183RD ST STE 6,"BRONX, NY 10458-8703",BRONX,1015031,250038,50014309,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LA VRAIE RACLETTE,50053912,511 E 12TH ST FRNT 1,"NEW YORK, NY 10009-3879",MANHATTAN,989570,204827,50053912,French
LADUREE PARIS,50054046,864 MADISON AVE,"NEW YORK, NY 10021-4929",MANHATTAN,993631,220118,50054046,French
LAGUARDIA CAFE,50035206,9702 23RD AVE FL 1,"EAST ELMHURST, NY 11369-1228 US",QUEENS,1019362,219265,50035206,American
LANTERN HALL,50043578,52 HARRISON PL,"BROOKLYN, NY 11237-1402",BROOKLYN,1003272,196654,50043578,American
LAO DIAN INC,50059940,4508 8TH AVE,"BROOKLYN, NY 11220-1529",BROOKLYN,983993,173833,50059940,Chinese
LAOCHENGYIGUO,50055277,13655 37TH AVE,"FLUSHING, NY 11354-4110",QUEENS,1031527,216932,50055277,Chinese
LAS MARGARITAS RESTAURANT,50033000,7206 3RD AVE FL 1,"BROOKLYN, NY 11209-2108",BROOKLYN,976752,170037,50033000,Mexican
LAS MARIAS BAR RESTAURANT,50048996,1185 BROADWAY,"BROOKLYN, NY 11221-3024",BROOKLYN,1004397,191589,50048996,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LATIN BITES,50042839,419 E 70TH ST,"NEW YORK, NY 10021-5334",MANHATTAN,996349,218441,50042839,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LATIN FUSION,50050347,789 ALLERTON AVE,"BRONX, NY 10467-8909",BRONX,1021884,254635,50050347,Spanish
LE TURTLE,50044727,177 CHRYSTIE ST,"NEW YORK, NY 10002-2829",MANHATTAN,986373,201982,50044727,American
LE WAFOU,50050459,2254 WEBSTER AVE FRNT,"BRONX, NY 10457-1302",BRONX,1013031,251031,50050459,African
LEAF GARDEN,50054445,4235 MAIN ST UNIT 1P5,"FLUSHING, NY 11355-3956",QUEENS,1031936,214181,50054445,"Juice, Smoothies, Fruit Salads"
LECHONERA 2DA RESTAURANTE,50057733,429 NEW LOTS AVE,"BROOKLYN, NY 11207-6410",BROOKLYN,1014274,180635,50057733,Spanish
LECHONERA POLLO SABROSO BORIQUENA,50005780,1089 SOUTHERN BLVD BLDG 1,"BRONX, NY 10459-2417",BRONX,1014159,240168,50005780,Spanish
LEE GARDEN CHINESE RESTAURANT,50035260,121 WYCKOFF AVE,"BROOKLYN, NY 11237-8064 US",BROOKLYN,1006676,195864,50035260,Chinese
LEGEND OF TASTE,50056715,2002 UTOPIA PKWY,"FLUSHING, NY 11357-4134",QUEENS,1041343,223346,50056715,Chinese
LENA'S ITALIAN KITCHEN,50049996,551 2ND AVE BLDG STORE,"NEW YORK, NY 10016-6339",MANHATTAN,990494,209804,50049996,Italian
LENNY'S PIZZERIA,50045003,3021 CHURCH AVE,"BROOKLYN, NY 11226-4209",BROOKLYN,998322,176395,50045003,Pizza/Italian
LENNY'S PIZZERIA,50049007,1046 NOSTRAND AVE,"BROOKLYN, NY 11225-4119",BROOKLYN,997883,180725,50049007,Pizza
LENNYS PIZZA,50045813,1845 NOSTRAND AVE,"BROOKLYN, NY 11226-7922",BROOKLYN,998550,172699,50045813,American
LIBERTY TAVERN,50056843,382 FOREST AVE,"STATEN ISLAND, NY 10301-2642",STATEN ISLAND,955905,169179,50056843,American
LIC HOTEL INC,50047047,4404 21ST ST,"LONG ISLAND CITY, NY 11101-5006",QUEENS,998994,212285,50047047,Caf&eacute;/Coffee/Tea
LIFECAFE,50047045,605 W 42ND ST,"NEW YORK, NY 10036-1910",MANHATTAN,984633,216515,50047045,"Juice, Smoothies, Fruit Salads"
LIMA,50007441,6620 AVENUE U,"BROOKLYN, NY 11234-6021",BROOKLYN,1009030,164243,50007441,Peruvian
LIMANI,50013293,630 5TH AVE FRNT,"NEW YORK, NY 10111-0100",MANHATTAN,990612,215722,50013293,Mediterranean
LINDA'S WINGK BOY PIZZERIA,50059943,729 E TREMONT AVE,"BRONX, NY 10457-5001",BRONX,1014617,247147,50059943,Pizza
LION LION,50056984,332 E 116TH ST,"NEW YORK, NY 10029-1509",MANHATTAN,1001739,229506,50056984,American
LITTLE ALLEY,50062377,550 3RD AVE,"NEW YORK, NY 10016-3538",MANHATTAN,990631,211547,50062377,Chinese
LITTLE BAMBOO,50044365,175 LENOX AVE,"NEW YORK, NY 10026-1320",MANHATTAN,998530,232116,50044365,Thai
LITTLE CAESARS,50006046,1110 PENNSYLVANIA AVE STE 11,"BROOKLYN, NY 11207-9061",BROOKLYN,1015658,177365,50006046,Pizza
LITTLE CAESARS,50006606,8404 ASTORIA BOULEVARD,"EAST ELMHURST, NY 11370-1643",QUEENS,1016119,217876,50006606,Pizza
LITTLE KING,50053418,749 METROPOLITAN AVE,"BROOKLYN, NY 11211-3701",BROOKLYN,999777,199622,50053418,American
LITTLE MICHAEL'S DELI & SALAD BAR,50039779,12 E GUN HILL RD,"BRONX, NY 10467-2102",BRONX,1017178,260818,50039779,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LITTLE MUENSTER,50007940,225 LIBERTY ST STE 246,"NEW YORK, NY 10281-1008",MANHATTAN,979905,198509,50007940,American
LIU BU,50043882,14008 HOLLY AVE FRNT,"FLUSHING, NY 11355-3447",QUEENS,1034434,212853,50043882,Asian
LIVE ON AIR,50055614,335 FLATBUSH AVE FRNT,"BROOKLYN, NY 11217-2895",BROOKLYN,991780,186194,50055614,American
LIZZMONADE,50008684,1 BROOKLYN BRIDGE PARK,"BROOKLYN, NY 11201",BROOKLYN,985380,194829,50008684,"Juice, Smoothies, Fruit Salads"
LONG WONG BAKERY II,50016818,1310 AVENUE U,"BROOKLYN, NY 11229-3306",BROOKLYN,995899,157381,50016818,Bakery
LONGHORN STEAKHOUSE,50014682,9230 59TH AVE,"ELMHURST, NY 11373-5025",QUEENS,1020617,206809,50014682,Steak
LOOK BY PLANT LOVE HOUSE,50044571,622 WASHINGTON AVE,"BROOKLYN, NY 11238-3125",BROOKLYN,994189,186968,50044571,Thai
LOONG XIN ASIAN CUISINE,50004484,670 E 233RD ST,"BRONX, NY 10466",BRONX,1023343,264937,50004484,Chinese
LOS AMIGOS GRILL,50045535,142 AVENUE U FL 1,"BROOKLYN, NY 11223-3654",BROOKLYN,990067,156535,50045535,Mexican
LOS MARISCOS,50055122,409 W 15TH ST,"NEW YORK, NY 10011-7003",MANHATTAN,982711,209587,50055122,Spanish
LOS TRES POTRILLOS,50018221,4020 JUNCTION BLVD,"CORONA, NY 11368-2122",QUEENS,1020512,212058,50018221,Mexican
LOT 45,50005133,411 TROUTMAN ST,"BROOKLYN, NY 11237-2601",BROOKLYN,1005737,196846,50005133,American
LOTUS CAFE,50032626,151 DYCKMAN ST,"NEW YORK, NY 10040-1003",MANHATTAN,1004777,253789,50032626,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
LUCKY 13 SALOON,50015155,644 SACKETT ST,"BROOKLYN, NY 11217-3117",BROOKLYN,988795,186447,50015155,American
LUKE'S LOBSTER,50011303,685 3RD AVE,"NEW YORK, NY 10017-4024",MANHATTAN,991504,213112,50011303,Seafood
LUKE'S LOBSTER,50018812,700 8TH AVE,"NEW YORK, NY 10036-3901",MANHATTAN,987370,215678,50018812,Seafood
LUKE'S LOBSTER,50041666,1123 BROADWAY,"NEW YORK, NY 10010-2007",MANHATTAN,987264,210064,50041666,Seafood
LUKE'S LOBSTER,50060330,11 WATER ST,"BROOKLYN, NY 11201-1332",BROOKLYN,985894,195484,50060330,Seafood
LUKE'S LOBSTER,50064425,124 UNIVERSITY PL,"NEW YORK, NY 10003-4510",MANHATTAN,986443,206973,50064425,American
LUPULO,50035940,835 6TH AVE FL 1,"NEW YORK, NY 10001-4101",MANHATTAN,987028,211358,50035940,Portuguese
La Colombe,50013436,75 VANDAM ST,"NEW YORK, NY 10013-1103",MANHATTAN,982304,203986,50013436,Caf&eacute;/Coffee/Tea
Lao Jie Special Soup Buns,50044861,13620 38TH AVE OFC,"FLUSHING, NY 11354-4273",QUEENS,1031267,216561,50044861,Chinese
Lolo's Seafood Shack,50014997,303 W 116TH ST APT 1,"NEW YORK, NY 10026-2008",MANHATTAN,996535,232395,50014997,Seafood
Lyric Theatre,50016815,214 W 43RD ST,"NEW YORK, NY 10036-3912",MANHATTAN,987804,215073,50016815,American
M & K SPANISH RESTAURANT BAR,50018283,1727 RICHMOND RD FL 1729,"STATEN ISLAND, NY 10306-2524",STATEN ISLAND,955650,153500,50018283,Spanish
M AND G RESTAURANT,50016957,2472 ARTHUR AVE APT 1,"BRONX, NY 10458-6036",BRONX,1015730,251577,50016957,American
M GREENPOINT,50042717,732 MANHATTAN AVE,"BROOKLYN, NY 11222-2910",BROOKLYN,997506,203862,50042717,Chinese
M&S NICE BAKERY & RESTAURANT,50018482,819 SENECA AVE,"RIDGEWOOD, NY 11385-4817",QUEENS,1010548,194800,50018482,Bakery
MA'S FOOD MARKET,50052487,4307 MAIN ST,"FLUSHING, NY 11355-4743",QUEENS,1032263,213403,50052487,Chinese
MACARON PARLOUR,50006577,560 COLUMBUS AVE,"NEW YORK, NY 10024-2404",MANHATTAN,992118,226117,50006577,Caf&eacute;/Coffee/Tea
MACCHINA,50036650,2758 BROADWAY,"NEW YORK, NY 10025-2802",MANHATTAN,993146,231217,50036650,Italian
MAGNOLIA RESTAURANT,50059675,346 W 40TH ST,"NEW YORK, NY 10018-1404",MANHATTAN,986442,214896,50059675,American
MAITE,50019166,159 CENTRAL AVE,"BROOKLYN, NY 11221-2728",BROOKLYN,1004543,193965,50019166,Spanish
MAJANGDONG,50015476,41-71 BOWNE ST,"FLUSHING, NY 11355-2642",QUEENS,1033362,215380,50015476,Korean
MAKIMAKI,50065703,1369 6TH AVE,"NEW YORK, NY 10019-3811",MANHATTAN,990366,217383,50065703,Japanese
MALECON RESTAURANT,50006114,4141 BROADWAY,"NEW YORK, NY 10033-3702",MANHATTAN,1001285,247614,50006114,Spanish
MAMA'S GREEK KITCHEN,50052214,7026 3RD AVE,"BROOKLYN, NY 11209-1307",BROOKLYN,976897,170495,50052214,Greek
MAMAM,50014481,239 CENTRE ST,"NEW YORK, NY 10013-3223",MANHATTAN,984749,201662,50014481,French
MANDOLINO,50058576,137 E 13TH ST FRNT 1,"NEW YORK, NY 10003-5436",MANHATTAN,987306,206386,50058576,Pizza/Italian
MANGIA FRESH KITCHEN,50015534,20 JEFFERSON BLVD BLDG 1,"STATEN ISLAND, NY 10312-3320",STATEN ISLAND,934795,136447,50015534,Italian
MANGO MANGO,50015236,13335 ROOSEVELT AVE,"FLUSHING, NY 11354-5254",QUEENS,1030448,215666,50015236,"Ice Cream, Gelato, Yogurt, Ices"
MANGO MANGO,50037612,13628 39TH AVE FL 1,"FLUSHING, NY 11354-5516",QUEENS,1031443,216348,50037612,"Juice, Smoothies, Fruit Salads"
MANGO MANGO,50048160,5302 7TH AVE APT 1A,"BROOKLYN, NY 11220-3121",BROOKLYN,982095,172692,50048160,"Juice, Smoothies, Fruit Salads"
MANGTANGHUNG SEAFOOD RESTAURANT,50059209,6508 11TH AVE,"BROOKLYN, NY 11219-5601",BROOKLYN,982567,168264,50059209,Chinese
MAPLE RESTAURANT,50016867,157 W 47TH ST,"NEW YORK, NY 10036-1503",MANHATTAN,988865,215684,50016867,American
MARIE'S PIZZA,50049977,10708 ROCKAWAY BLVD,"OZONE PARK, NY 11417-2317",QUEENS,1030876,186455,50049977,Pizza/Italian
MARIO'S PIZZA 2,50042180,1011 WESTCHESTER AVE,"BRONX, NY 10459-3311",BRONX,1013835,239525,50042180,Pizza
MARONI HOT POTS,50039955,307 E 77TH ST,"NEW YORK, NY 10075-2245",MANHATTAN,996561,220481,50039955,Italian
MARTINIELLO'S III PIZZERIA & ITALIAN RESTAURNT,50034411,8901 101ST AVE,"OZONE PARK, NY 11416-2200",QUEENS,1025574,188093,50034411,Pizza/Italian
MASBIA OF BORO PARK SOUP KITCHEN,50051145,5402 NEW UTRECHT AVE,"BROOKLYN, NY 11219-4129",BROOKLYN,985549,169644,50051145,Jewish/Kosher
MATCHPOINTNYC,50007379,2781 SHELL RD,"BROOKLYN, NY 11223-6142",BROOKLYN,991329,152228,50007379,Soups & Sandwiches
MAURICE DELI,50035917,5904 55TH DR,"MASPETH, NY 11378-2323",QUEENS,1009552,203810,50035917,Delicatessen
MAX FISH,50013823,120 ORCHARD ST,"NEW YORK, NY 10002-3177",MANHATTAN,987162,201425,50013823,American
MAYFLOWER (Howard Johnson Hotel),50015462,3861 12TH ST,"LONG ISLAND CITY, NY 11101-6115",QUEENS,1000534,215340,50015462,Continental
MAYLIN GARDEN,50038814,5506 8TH AVE,"BROOKLYN, NY 11220-3516",BROOKLYN,982378,171794,50038814,Chinese
MAZI NIGHTCLUB,50036921,13035 91ST AVE,"RICHMOND HILL, NY 11418-3320",QUEENS,1034144,193757,50036921,American
MB RESTAURANT,50016922,2771 WEBSTER AVE,"BRONX, NY 10458-3708",BRONX,1015760,254751,50016922,African
MCDONALD'S,50010254,2248 31ST ST,"ASTORIA, NY 11105-2714",QUEENS,1008643,221692,50010254,Hamburgers
MCDONALD'S,50039189,16 WESTCHESTER SQ,"BRONX, NY 10461-3513",BRONX,1027604,245745,50039189,American
MCDONALD'S,50042441,2154 NOSTRAND AVE,"BROOKLYN, NY 11210-3024",BROOKLYN,998779,169691,50042441,Hamburgers
MCDONALD'S,50059655,1531 FULTON ST,"BROOKLYN, NY 11216-2515",BROOKLYN,1000944,186977,50059655,American
